0.000000000000000000e+00,6.409371649809840754e-01,6.400209736701655272e-01,6.371377487594062083e-01,6.281584510696105461e-01,6.010852606007078824e-01,5.270008678950541814e-01,3.709362688988707690e-01,1.819097739942356629e-01,7.537244903181956890e-02,4.104260663579598761e-02,3.129610645018357507e-02,2.839665250105667324e-02,2.750068037287973013e-02
1.000000000000000000e+00,2.851041395250793475e-01,2.856121319468485353e-01,2.872022011701399480e-01,2.920703334335567058e-01,3.059635116812781108e-01,3.375720309808020181e-01,3.678667761235960842e-01,3.100187249339170226e-01,1.948614076130393280e-01,1.310549763379359189e-01,1.084178992958990256e-01,1.011342238326268378e-01,9.882491962929380869e-02
2.000000000000000000e+00,6.341056098435760013e-02,6.372782554877902406e-02,6.473098205025777652e-02,6.790092493918845062e-02,7.787054234767351590e-02,1.081164026879708057e-01,1.824113416804521715e-01,2.641738475599921809e-01,2.518889107670168603e-01,2.092387427454123205e-01,1.877939817600977335e-01,1.800939605442449243e-01,1.775658748677296506e-01
3.000000000000000000e+00,9.402176694800876491e-03,9.479606069234704571e-03,9.726248661788765987e-03,1.052380215727766015e-02,1.321251529242804118e-02,2.308476504254035333e-02,6.030063007100391198e-02,1.500722722464066516e-01,2.170705978319075191e-01,2.227098514381646854e-01,2.168558255561398307e-01,2.138005869519090107e-01,2.126969596724817002e-01
4.000000000000000000e+00,1.045578116972474157e-03,1.057578818052026066e-03,1.096073820077754762e-03,1.223294218135202380e-03,1.681353645643314651e-03,3.696754357943851654e-03,1.495041078639407391e-02,6.393995972316603160e-02,1.402988850311618907e-01,1.777861879574053061e-01,1.878113264208997601e-01,1.903618429631517561e-01,1.910839991958631079e-01
5.000000000000000000e+00,9.301961740806519619e-05,9.438982575634342388e-05,9.881530779936810091e-05,1.137572692271248624e-04,1.711680187549479511e-04,4.735934806455431318e-04,2.965339266521631583e-03,2.179386445318773693e-02,7.254331940884842234e-02,1.135393999836663004e-01,1.301255126221038116e-01,1.355941319823550373e-01,1.373337721607634510e-01
6.000000000000000000e+00,6.896224109810837784e-06,7.020311437024762400e-06,7.423819512743736879e-06,8.815483709322304305e-06,1.452128107234690249e-05,5.056029406533054125e-05,4.901335204769991915e-04,6.190345467064690618e-03,3.125787011591561054e-02,6.042461967358365299e-02,7.513146907346221481e-02,8.048605549418168248e-02,8.225250437536726911e-02
7.000000000000000000e+00,4.382292832254583797e-07,4.475491984839517548e-07,4.780615246618091855e-07,5.855531837280218051e-07,1.055942937646240747e-06,4.626650324331422715e-06,6.943966742906036694e-05,1.507123140115962205e-03,1.154448465683771859e-02,2.756350656290102938e-02,3.718215172012602487e-02,4.094997138659665220e-02,4.222543392687409108e-02
8.000000000000000000e+00,2.436685480859236090e-08,2.496509606369164625e-08,2.693693836924011282e-08,3.403255845117007025e-08,6.718680994403572950e-08,3.704518914806838017e-07,8.608131886128586008e-06,3.210632831581328585e-04,3.730763958341127163e-03,1.100178264884189676e-02,1.610108747558684078e-02,1.823033354018409671e-02,1.896737215932026155e-02
9.000000000000000000e+00,1.204328697309522179e-09,1.237864694693911980e-09,1.349149727870599574e-09,1.758208314047843266e-09,3.799925389108301437e-09,2.636601126046185325e-08,9.485444119292634968e-07,6.079670247889529695e-05,1.071688256463041236e-03,3.903364719696971168e-03,6.197597644228502144e-03,7.214115712045892845e-03,7.573344060374006224e-03
