1.000000000000000062e-09,4.161464462313588242e-02
3.162277660168379522e-09,4.173953537810939918e-02
1.000000000000000021e-08,4.213336983256400076e-02
3.162277660168379191e-08,4.336783479520482654e-02
9.999999999999999547e-08,4.716511023698926469e-02
3.162277660168379191e-07,5.819706329682412110e-02
9.999999999999999547e-07,8.549960731569582195e-02
3.162277660168379191e-06,1.321404392675796791e-01
1.000000000000000082e-05,1.759154206164547374e-01
3.162277660168379530e-05,1.986311304417393564e-01
1.000000000000000048e-04,2.070635849137891227e-01
3.162277660168379394e-04,2.098523928256169346e-01
1.000000000000000021e-03,2.107457492751916850e-01
3.162277660168379394e-03,2.110293628953773259e-01
1.000000000000000021e-02,2.111191590524421624e-01
3.162277660168379134e-02,2.111475660136152566e-01
1.000000000000000056e-01,2.111565501744281648e-01
3.162277660168379412e-01,2.111593913245825849e-01
1.000000000000000000e+00,2.111602897860525851e-01
